name,ra,dec,sn_type,max_epoch,max_mag,max_mag_flag,max_mag_band,redshift,radial_velocity,mult_sn_flag,unconfirmed_flag,galaxy_name,galaxy_ra_j2000,galaxy_dec_j2000,lii,bii,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,ra_offset,ra_offset_dir,dec_offset,dec_offset_flag,dec_offset_dir,max_epoch_flag,
SN 2011Z,13 30 43.04,-20 57 14.0,Ia pec,2011-01-29,16.10,D,,,5412,,,E576-G77,13 30 43,-20 57 06,315.11264,40.98698,,S0,-2.2,27,170,,,14.52,1.02,1.00,W,8.30,,S,D,
SN 1954I,11 14 36.00,-20 54 00.0,,1954-01-04,17.30,D,,,,,,A111436-2054,11 14 36,-20 54,274.44693,36.55839,G,S:,,,,,p,17.50,,6.00,E,2.00,,N,D,
SN 2005as,10 48 03.52,-20 50 56.5,Ia,2005-01-21,17.10,D,,,3920,,,NGC3450,10 48 04,-20 50 58,267.86575,33.48970,,SBc,3.2,27,140,,,12.54,1.40,,,0.80,,N,D,
SN 2004ag,09 51 01.49,-20 50 37.5,II,2004-02-18,23.00,D,V,0.3620,,,,A095101-2050,09 51 01,-20 50 37,255.93732,25.13933,,,,,,,,,,,,,,,D,
SN 1984N,22 02 44.70,-20 47 53.0,Pec,1984-07-20,14.00,D,,,2619,,,NGC7184,22 02 38,-20 48 48,32.92319,-51.12480,,SBc,4.9,85,62,,,11.68,1.78,69.00,E,54.00,,N,D,
SN 2008go,22 10 44.83,-20 47 17.2,Ia,2008-10-22,18.80,D,,,17700,,,A221044-2047,22 10 44,-20 47 17,33.86934,-52.90214,,,,,,,,,,11.60,E,8.20,,N,D,
SN 2003gr,23 38 12.67,-20 46 56.0,Ia,2003-07-27,16.30,D,,,7787,Y,,M-04-55-14,23 38 13,-20 46 56,49.78435,-72.13086,,SBbc,3.7,59,144,,,15.02,0.98,5.90,W,0.80,,N,D,
SN 2006ec,23 38 12.46,-20 46 48.6,Ib,2006-08-04,16.70,D,,,7787,Y,,M-04-55-14,23 38 13,-20 46 56,49.78936,-72.12927,,SBbc,3.7,59,144,,,15.02,0.98,10.50,W,7.00,,N,D,
SN 2006ot,02 15 04.84,-20 45 58.2,Ia,2006-11-22,17.40,D,,,15886,,,E544-G31,02 15 05,-20 46 04,199.00902,-69.88979,,Sa,0.8,63,6,,,15.48,0.99,3.30,E,5.40,,N,D,
SN 2005cq,09 52 00.48,-20 43 26.5,Ia,2005-05-13,21.90,D,R,0.3100,,,,A095200-2043,09 52 00,-20 43 26,256.02778,25.38520,,,,,,:,,,,,,,,,D,
SN 2006rx,23 43 10.29,-20 40 53.7,IIn,2006-11-17,19.02,,R,,24000,,,A234310-2040,23 43 10,-20 40 53,51.73590,-73.13897,,,,,,,,,,,,,,,D,
SN 2002ds,15 13 35.73,-20 40 38.5,II,2002-06-25,15.90,D,,,2306,,,E581-G25,15 13 30,-20 40 34,342.35984,31.10026,,SBd pec,6.6,78,57,,,13.31,1.55,67.50,E,7.20,,S,D,
SN 2004bq,20 43 58.28,-20 40 25.7,Ia,2004-05-05,17.30,D,,,,,,E597-G32,20 43 59,-20 40 37,25.13020,-33.61519,,Sa,1.0,69,2,,,15.12,1.02,2.90,W,8.30,,N,D,
SN 2011ic,10 15 33.21,-20 34 06.0,Ia,2011-11-18,16.00,D,,,,,,A101533-2035,10 15 33,-20 35 01,260.51988,29.18472,,,,,,,,,,7.50,E,55.40,,N,D,
SN 2001be,09 52 51.21,-20 34 00.0,Ia,2001-04-20,21.10,D,V,0.2410,,,,A095251-2034,09 52 51,-20 34 00,256.06447,25.63578,,,,,,,,,,0.00,,0.00,,,D,
SN 2010bl,12 40 34.92,-20 33 40.8,Ia,2010-04-07,16.50,D,,,8583,,,M-03-32-18,12 40 35,-20 33 44,299.49890,42.23804,,E,-4.0,,12,,,14.90,0.87,2.00,W,3.90,,N,D,
SN 2013ao,11 44 44.74,-20 31 41.1,Ia,2013-03-04,17.00,D,,,9000,,,A114444-2031,11 44 44,-20 31 41,282.49753,39.68264,,,,,,:,,,,,,,,,D,
